,rouge_1_f_score,rouge_1_precision,rouge_1_recall,rouge_2_f_score,rouge_2_precision,rouge_2_recall,rouge_3_f_score,rouge_3_precision,rouge_3_recall,rouge_4_f_score,rouge_4_precision,rouge_4_recall,rouge_su4_f_score,rouge_su4_precision,rouge_su4_recall
0,0.75789,0.77419,0.74227,0.40425,0.41304,0.39583,0.19355,0.1978,0.18947,0.15218,0.15556,0.14894,0.5704,0.58303,0.5583
1,0.83243,0.84615,0.81915,0.43716,0.44444,0.43011,0.09945,0.10112,0.09783,0.01117,0.01136,0.01099,0.60854,0.61887,0.59854
2,0.80214,0.78947,0.81522,0.44324,0.43617,0.45055,0.24044,0.23656,0.24444,0.1768,0.17391,0.17978,0.58349,0.57401,0.59328
3,0.81522,0.80645,0.82418,0.37363,0.36957,0.37778,0.2,0.1978,0.20225,0.12359,0.12222,0.125,0.62314,0.61624,0.63019
4,0.80645,0.82418,0.78947,0.41304,0.42222,0.40426,0.13187,0.13483,0.12903,0.07778,0.07955,0.07609,0.60148,0.61509,0.58845
5,0.76757,0.77174,0.76344,0.30601,0.30769,0.30435,0.05525,0.05556,0.05495,0.0,0.0,0.0,0.53247,0.53545,0.52952
6,0.7486,0.77011,0.72826,0.32768,0.33721,0.31868,0.11429,0.11765,0.11111,0.04624,0.04762,0.04494,0.54319,0.55929,0.52799
7,0.75824,0.76667,0.75,0.36667,0.37079,0.36264,0.08989,0.09091,0.08889,0.03409,0.03448,0.03371,0.55094,0.55725,0.54478
8,0.83615,0.85057,0.82222,0.48,0.48837,0.47191,0.27746,0.28235,0.27273,0.23392,0.2381,0.22989,0.62136,0.63241,0.61069
9,0.72252,0.72632,0.71875,0.38095,0.38298,0.37895,0.13904,0.13978,0.1383,0.05405,0.05435,0.05376,0.54039,0.54332,0.5375
10,0.77778,0.75269,0.8046,0.55056,0.53261,0.56977,0.39773,0.38462,0.41176,0.34482,0.33333,0.35714,0.66031,0.63838,0.68379
11,0.69715,0.71765,0.67778,0.23122,0.2381,0.22472,0.01169,0.01205,0.01136,0.0,0.0,0.0,0.47544,0.48988,0.46183
12,0.74576,0.75,0.74157,0.48,0.48276,0.47727,0.3237,0.32558,0.32184,0.24562,0.24706,0.24419,0.56117,0.56445,0.55792
13,0.75676,0.76923,0.74468,0.31694,0.32222,0.31183,0.1105,0.11236,0.1087,0.06704,0.06818,0.06593,0.54731,0.5566,0.53832
14,0.68478,0.67742,0.69231,0.31868,0.31522,0.32222,0.14445,0.14286,0.14607,0.08989,0.08889,0.09091,0.50373,0.49815,0.50943
15,0.98948,1.0,0.97917,0.98936,1.0,0.97895,0.98925,1.0,0.97872,0.98913,1.0,0.97849,0.98917,1.0,0.97857
16,0.87913,0.89888,0.86022,0.7,0.71591,0.68478,0.52809,0.54023,0.51648,0.43182,0.44186,0.42222,0.73963,0.75676,0.72325
17,0.72528,0.75,0.70213,0.42222,0.43678,0.4086,0.19101,0.19767,0.18478,0.11364,0.11765,0.10989,0.55472,0.57422,0.5365
18,0.85714,0.87097,0.84375,0.59893,0.6087,0.58947,0.36757,0.37363,0.3617,0.28415,0.28889,0.27957,0.72051,0.73247,0.70893
19,0.7957,0.7957,0.7957,0.31522,0.31522,0.31522,0.0989,0.0989,0.0989,0.04444,0.04444,0.04444,0.59779,0.59779,0.59779
20,0.79558,0.80899,0.78261,0.37989,0.38636,0.37363,0.16949,0.17241,0.16667,0.09143,0.09302,0.08989,0.58444,0.59459,0.57463
21,0.98429,1.0,0.96907,0.98413,1.0,0.96875,0.98396,1.0,0.96842,0.98379,1.0,0.96809,0.98384,1.0,0.9682
22,0.83938,0.85263,0.82653,0.56545,0.57447,0.5567,0.25397,0.25806,0.25,0.19251,0.19565,0.18947,0.69627,0.70758,0.68531
23,0.73034,0.73034,0.73034,0.30682,0.30682,0.30682,0.09195,0.09195,0.09195,0.05814,0.05814,0.05814,0.49035,0.49035,0.49035
24,0.77249,0.78495,0.76042,0.39572,0.40217,0.38947,0.20541,0.20879,0.20213,0.13114,0.13333,0.12903,0.58802,0.59779,0.57857
25,0.83938,0.84375,0.83505,0.52356,0.52632,0.52083,0.2963,0.29787,0.29474,0.2246,0.22581,0.2234,0.66963,0.67321,0.66608
26,0.81865,0.83158,0.80612,0.52356,0.53191,0.51546,0.25397,0.25806,0.25,0.17112,0.17391,0.16842,0.65364,0.66426,0.64336
27,0.92656,0.93182,0.92135,0.8,0.8046,0.79545,0.73989,0.74419,0.73563,0.69006,0.69412,0.68605,0.83884,0.84375,0.83398
28,0.80424,0.78351,0.82609,0.53476,0.52083,0.54945,0.38919,0.37895,0.4,0.30601,0.29787,0.31461,0.64428,0.62721,0.66231
29,0.81865,0.81443,0.82292,0.59686,0.59375,0.6,0.4127,0.41053,0.41489,0.32086,0.31915,0.32258,0.65897,0.65548,0.6625
30,0.77174,0.77174,0.77174,0.48352,0.48352,0.48352,0.14444,0.14444,0.14444,0.07865,0.07865,0.07865,0.58582,0.58582,0.58582
31,0.80645,0.83333,0.78125,0.45652,0.47191,0.44211,0.26374,0.27273,0.25532,0.18889,0.1954,0.1828,0.63099,0.65267,0.61071
32,0.78889,0.78889,0.78889,0.47191,0.47191,0.47191,0.20455,0.20455,0.20455,0.12644,0.12644,0.12644,0.59924,0.59924,0.59924
33,0.76503,0.75269,0.77778,0.38674,0.38043,0.39326,0.13408,0.13187,0.13636,0.0565,0.05556,0.05747,0.57036,0.56089,0.58015
