,rouge_1_f_score,rouge_1_precision,rouge_1_recall,rouge_2_f_score,rouge_2_precision,rouge_2_recall,rouge_3_f_score,rouge_3_precision,rouge_3_recall,rouge_4_f_score,rouge_4_precision,rouge_4_recall,rouge_su4_f_score,rouge_su4_precision,rouge_su4_recall
0,0.81914,0.84615,0.79381,0.64516,0.66667,0.625,0.55434,0.57303,0.53684,0.4945,0.51136,0.47872,0.68613,0.70943,0.66431
1,0.91892,0.93407,0.90426,0.80874,0.82222,0.7957,0.72928,0.74157,0.71739,0.68156,0.69318,0.67033,0.81818,0.83208,0.80474
2,0.63157,0.61224,0.65217,0.26596,0.25773,0.27473,0.11828,0.11458,0.12222,0.05435,0.05263,0.05618,0.44043,0.42657,0.45522
3,0.88398,0.88889,0.87912,0.6257,0.62921,0.62222,0.45198,0.45455,0.44944,0.37714,0.37931,0.375,0.72486,0.72901,0.72075
4,0.74737,0.74737,0.74737,0.46809,0.46809,0.46809,0.32258,0.32258,0.32258,0.25,0.25,0.25,0.5704,0.5704,0.5704
5,0.80874,0.82222,0.7957,0.45304,0.46067,0.44565,0.25698,0.26136,0.25275,0.15819,0.16092,0.15556,0.60976,0.62023,0.59963
6,0.76503,0.76923,0.76087,0.27625,0.27778,0.27473,0.07821,0.07865,0.07778,0.04519,0.04545,0.04494,0.5272,0.53019,0.52425
7,0.79782,0.8022,0.79348,0.56354,0.56667,0.56044,0.41341,0.41573,0.41111,0.33898,0.34091,0.33708,0.64165,0.64528,0.63806
8,0.82796,0.80208,0.85556,0.58696,0.56842,0.60674,0.3956,0.38298,0.40909,0.33333,0.32258,0.34483,0.68081,0.65893,0.7042
9,0.78495,0.81111,0.76042,0.34782,0.35955,0.33684,0.06593,0.06818,0.06383,0.02223,0.02299,0.02151,0.57011,0.58969,0.55179
10,0.85549,0.86047,0.85057,0.59649,0.6,0.59302,0.4142,0.41667,0.41176,0.33533,0.33735,0.33333,0.69782,0.702,0.69368
11,0.81081,0.78947,0.83333,0.37158,0.3617,0.38202,0.17679,0.17204,0.18182,0.13408,0.13043,0.13793,0.60111,0.58484,0.61832
12,0.82486,0.82955,0.82022,0.60572,0.6092,0.60227,0.48555,0.48837,0.48276,0.39766,0.4,0.39535,0.69709,0.70117,0.69305
13,0.82162,0.83516,0.80851,0.56831,0.57778,0.55914,0.39779,0.40449,0.3913,0.3352,0.34091,0.32967,0.6846,0.69623,0.67336
14,0.70588,0.6875,0.72527,0.42162,0.41053,0.43333,0.26229,0.25532,0.26966,0.1989,0.19355,0.20455,0.54312,0.52857,0.55849
15,0.84043,0.8587,0.82292,0.56989,0.58242,0.55789,0.42391,0.43333,0.41489,0.37362,0.38202,0.36559,0.65693,0.67164,0.64286
16,0.71428,0.73034,0.69892,0.36667,0.375,0.3587,0.08988,0.09195,0.08791,0.01136,0.01163,0.01111,0.54151,0.55405,0.52952
17,0.89947,0.89474,0.90426,0.64171,0.6383,0.64516,0.44324,0.44086,0.44565,0.39344,0.3913,0.3956,0.7314,0.72744,0.7354
18,0.84043,0.8587,0.82292,0.63441,0.64835,0.62105,0.51087,0.52222,0.5,0.47253,0.48315,0.46237,0.71168,0.72761,0.69643
19,0.75936,0.75532,0.76344,0.38919,0.3871,0.3913,0.13115,0.13043,0.13187,0.05525,0.05495,0.05556,0.58349,0.58029,0.58672
20,0.76087,0.76087,0.76087,0.45055,0.45055,0.45055,0.26667,0.26667,0.26667,0.20225,0.20225,0.20225,0.56903,0.56903,0.56903
21,0.98429,1.0,0.96907,0.98413,1.0,0.96875,0.98396,1.0,0.96842,0.98379,1.0,0.96809,0.98384,1.0,0.9682
22,0.82722,0.84946,0.80612,0.45503,0.46739,0.4433,0.20321,0.20879,0.19792,0.0973,0.1,0.09474,0.64452,0.66236,0.62762
23,0.67033,0.65591,0.68539,0.25555,0.25,0.26136,0.07865,0.07692,0.08046,0.04545,0.04444,0.04651,0.46037,0.45018,0.47104
24,0.83422,0.85714,0.8125,0.52973,0.54444,0.51579,0.36066,0.37079,0.35106,0.30939,0.31818,0.30108,0.69541,0.71509,0.67679
25,0.82474,0.82474,0.82474,0.51042,0.51042,0.51042,0.29474,0.29474,0.29474,0.2234,0.2234,0.2234,0.66078,0.66078,0.66078
26,0.7644,0.78495,0.7449,0.38095,0.3913,0.37113,0.16043,0.16484,0.15625,0.08649,0.08889,0.08421,0.5781,0.5941,0.56294
27,0.90058,0.93902,0.86517,0.60355,0.62963,0.57955,0.44312,0.4625,0.42529,0.38788,0.40506,0.37209,0.75654,0.78992,0.72587
28,0.78212,0.8046,0.76087,0.37288,0.38372,0.36264,0.18286,0.18824,0.17778,0.12717,0.13095,0.1236,0.60077,0.61858,0.58396
29,0.77174,0.80682,0.73958,0.53846,0.56322,0.51579,0.28889,0.30233,0.2766,0.23596,0.24706,0.22581,0.61381,0.64258,0.5875
30,0.85083,0.86517,0.83696,0.52514,0.53409,0.51648,0.28249,0.28736,0.27778,0.24,0.24419,0.23596,0.6907,0.7027,0.6791
31,0.97382,0.97895,0.96875,0.97354,0.97872,0.96842,0.97326,0.97849,0.96809,0.97297,0.97826,0.96774,0.97486,0.98014,0.96964
32,0.80645,0.78125,0.83333,0.38043,0.36842,0.39326,0.10989,0.10638,0.11364,0.03333,0.03226,0.03448,0.63099,0.61071,0.65267
33,0.72727,0.74419,0.71111,0.3908,0.4,0.38202,0.18605,0.19048,0.18182,0.11764,0.12048,0.11494,0.5332,0.546,0.52099
34,0.75556,0.8,0.71579,0.41573,0.44048,0.39362,0.10227,0.10843,0.09677,0.03449,0.03659,0.03261,0.54962,0.583,0.51986
35,0.84616,0.88506,0.81053,0.46667,0.48837,0.44681,0.15731,0.16471,0.15054,0.07955,0.08333,0.07609,0.60943,0.63834,0.58303
36,0.7766,0.75258,0.8022,0.36559,0.35417,0.37778,0.15217,0.14737,0.1573,0.12088,0.11702,0.125,0.55292,0.53534,0.5717
37,0.7027,0.73034,0.67708,0.39344,0.40909,0.37895,0.1547,0.16092,0.14894,0.06704,0.06977,0.06452,0.49721,0.51737,0.47857
38,0.67039,0.68966,0.65217,0.24859,0.25581,0.24176,0.09143,0.09412,0.08889,0.06937,0.07143,0.06742,0.49136,0.50593,0.47761
39,0.77174,0.76344,0.78022,0.41758,0.41304,0.42222,0.24444,0.24176,0.24719,0.16854,0.16667,0.17045,0.61941,0.61255,0.62642
40,0.8617,0.87097,0.85263,0.66666,0.67391,0.65957,0.55435,0.56044,0.54839,0.51648,0.52222,0.51087,0.72993,0.73801,0.72202
41,0.98396,1.0,0.96842,0.98379,1.0,0.96809,0.98361,1.0,0.96774,0.98342,1.0,0.96739,0.98349,1.0,0.96751
42,0.72043,0.75281,0.69072,0.42391,0.44318,0.40625,0.21978,0.22989,0.21053,0.15556,0.16279,0.14894,0.56458,0.59073,0.54064
43,0.76191,0.74227,0.78261,0.39572,0.38542,0.40659,0.08649,0.08421,0.08889,0.01093,0.01064,0.01124,0.55354,0.53887,0.56903
44,0.78919,0.76842,0.81111,0.4153,0.40426,0.42697,0.16574,0.16129,0.17045,0.10056,0.09783,0.10345,0.55844,0.54332,0.57443
45,0.82723,0.82292,0.83158,0.63492,0.63158,0.6383,0.4385,0.43617,0.44086,0.37837,0.37634,0.38043,0.69479,0.69107,0.69856
46,0.75,0.75,0.75,0.4023,0.4023,0.4023,0.17442,0.17442,0.17442,0.09412,0.09412,0.09412,0.55078,0.55078,0.55078
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.87958,0.89362,0.86598,0.63492,0.64516,0.625,0.53476,0.54348,0.52632,0.49729,0.50549,0.48936,0.74507,0.7573,0.73322
