	thiago			erick			lucia_vinicius
1-1	fonte_redundancia	redundancia		redundancia
1-2	complemento		complemento		complemento
1-6	complemento		no-relation		no-relation
1-13	no-relation		no-relation		no-relation
6-5	no-relation		no-relation		no-relation
6-6	no-relation		no-relation		no-relation
6-7	no-relation		no-relation		no-relation
6-9	no-relation		no-relation		no-relation
6-10	no-relation		no-relation		complemento
7-4	complemento		complemento		complemento
8-7	no-relation		no-relation		no-relation
8-9	no-relation		no-relation		no-relation
10-2	complemento		complemento		complemento
10-7	no-relation		complemento		no-relation
10-13	no-relation		complemento		complemento
11-2	redundancia		redundancia		redundancia
11-7	no-relation		no-relation		no-relation
11-9	no-relation		no-relation		no-relation
