root(nselect:0) 	 	 Verbo(nselect:0)
root(nselect:0) 	 	 Substantivo(nselect:0)
Substantivo(nselect:0) 	 	 {entity}(nselect:0)
{entity}(nselect:0) 	 	 {abstraction, abstract entity}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {group, grouping}(nselect:0)
{group, grouping}(nselect:0) 	 	 {world, human race, humanity, humankind, human beings, humans, mankind, man}(nselect:0)
{group, grouping}(nselect:0) 	 	 {arrangement}(nselect:0)
{group, grouping}(nselect:0) 	 	 {straggle}(nselect:0)
{group, grouping}(nselect:0) 	 	 {kingdom}(nselect:0)
{group, grouping}(nselect:0) 	 	 {biological group}(nselect:0)
{group, grouping}(nselect:0) 	 	 {community, biotic community}(nselect:0)
{group, grouping}(nselect:0) 	 	 {people}(nselect:0)
{group, grouping}(nselect:0) 	 	 {social group}(nselect:0)
{group, grouping}(nselect:0) 	 	 {collection, aggregation, accumulation, assemblage}(nselect:0)
{group, grouping}(nselect:0) 	 	 {edition}(nselect:0)
{group, grouping}(nselect:0) 	 	 {electron shell}(nselect:0)
{group, grouping}(nselect:0) 	 	 {ethnic group, ethnos}(nselect:0)
{group, grouping}(nselect:0) 	 	 {race}(nselect:0)
{group, grouping}(nselect:0) 	 	 {association}(nselect:0)
{group, grouping}(nselect:0) 	 	 {swarm, cloud}(nselect:0)
{group, grouping}(nselect:0) 	 	 {subgroup}(nselect:0)
{group, grouping}(nselect:0) 	 	 {sainthood}(nselect:0)
{group, grouping}(nselect:0) 	 	 {citizenry, people}(nselect:0)
{group, grouping}(nselect:0) 	 	 {population}(nselect:0)
{group, grouping}(nselect:0) 	 	 {multitude, masses, mass, hoi polloi, people, the great unwashed}(nselect:0)
{group, grouping}(nselect:0) 	 	 {varna}(nselect:0)
{group, grouping}(nselect:0) 	 	 {circuit}(nselect:0)
{group, grouping}(nselect:0) 	 	 {series}(nselect:0)
{group, grouping}(nselect:0) 	 	 {actinoid, actinide, actinon}(nselect:0)
{group, grouping}(nselect:0) 	 	 {rare earth, rare-earth element, lanthanoid, lanthanide, lanthanon}(nselect:0)
{group, grouping}(nselect:0) 	 	 {halogen}(nselect:0)
{group, grouping}(nselect:0) 	 	 {system, scheme}(nselect:4)
{system, scheme}(nselect:4) 	 	 {language system}(nselect:0)
{system, scheme}(nselect:4) 	 	 {judiciary, judicature, judicatory, judicial system}(nselect:0)
{system, scheme}(nselect:4) 	 	 {economy, economic system}(nselect:0)
{system, scheme}(nselect:4) 	 	 {ecosystem}(nselect:0)
{system, scheme}(nselect:4) 	 	 {social organization, social organisation, social structure, social system, structure}(nselect:0)
{system, scheme}(nselect:4) 	 	 {dragnet}(nselect:0)
{system, scheme}(nselect:4) 	 	 {machinery}(nselect:0)
{system, scheme}(nselect:4) 	 	 {network, web}(nselect:0)
{system, scheme}(nselect:4) 	 	 {nonlinear system}(nselect:0)
{system, scheme}(nselect:4) 	 	 {subsystem}(nselect:0)
{system, scheme}(nselect:4) 	 	 {organism}(nselect:0)
{system, scheme}(nselect:4) 	 	 {syntax}(nselect:0)
{system, scheme}(nselect:4) 	 	 {body}(nselect:0)
{system, scheme}(nselect:4) 	 	 {shebang}(nselect:0)
{system, scheme}(nselect:4) 	 	 {solar system}(nselect:0)
{system, scheme}(nselect:4) 	 	 {water system}(nselect:0)
{system, scheme}(nselect:4) 	 	 {rootage, root system}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {psychological feature}(nselect:0)
{psychological feature}(nselect:0) 	 	 {event}(nselect:0)
{event}(nselect:0) 	 	 {act, deed, human action, human activity}(nselect:0)
{act, deed, human action, human activity}(nselect:0) 	 	 {activity}(nselect:0)
{activity}(nselect:0) 	 	 {procedure, process}(nselect:0)
{procedure, process}(nselect:0) 	 	 {calculation, computation, computing}(nselect:0)
{calculation, computation, computing}(nselect:0) 	 	 {mathematical process, mathematical operation, operation}(nselect:0)
{mathematical process, mathematical operation, operation}(nselect:0) 	 	 {arithmetic operation}(nselect:0)
{arithmetic operation}(nselect:0) 	 	 {division}(nselect:0)
{arithmetic operation}(nselect:0) 	 	 {subtraction, minus}(nselect:0)
{arithmetic operation}(nselect:0) 	 	 {summation, addition, plus}(nselect:0)
{arithmetic operation}(nselect:0) 	 	 {multiplication, times}(nselect:3)
{event}(nselect:0) 	 	 {happening, occurrence, occurrent, natural event}(nselect:0)
{happening, occurrence, occurrent, natural event}(nselect:0) 	 	 {case, instance, example}(nselect:0)
{case, instance, example}(nselect:0) 	 	 {humiliation, mortification}(nselect:0)
{case, instance, example}(nselect:0) 	 	 {piece, bit}(nselect:0)
{case, instance, example}(nselect:0) 	 	 {time, clip}(nselect:1)
{abstraction, abstract entity}(nselect:0) 	 	 {measure, quantity, amount}(nselect:0)
{measure, quantity, amount}(nselect:0) 	 	 {fundamental quantity, fundamental measure}(nselect:0)
{fundamental quantity, fundamental measure}(nselect:0) 	 	 {temperature}(nselect:0)
{fundamental quantity, fundamental measure}(nselect:0) 	 	 {length}(nselect:0)
{fundamental quantity, fundamental measure}(nselect:0) 	 	 {time period, period of time, period}(nselect:0)
{fundamental quantity, fundamental measure}(nselect:0) 	 	 {mass}(nselect:8)
{mass}(nselect:8) 	 	 {body}(nselect:0)
{mass}(nselect:8) 	 	 {biomass}(nselect:0)
{mass}(nselect:8) 	 	 {critical mass}(nselect:0)
{mass}(nselect:8) 	 	 {rest mass}(nselect:0)
{mass}(nselect:8) 	 	 {relativistic mass}(nselect:0)
{mass}(nselect:8) 	 	 {bulk}(nselect:0)
{mass}(nselect:8) 	 	 {gravitational mass}(nselect:0)
{mass}(nselect:8) 	 	 {inertial mass}(nselect:0)
{mass}(nselect:8) 	 	 {atomic mass, atomic weight, relative atomic mass}(nselect:0)
{mass}(nselect:8) 	 	 {mass energy}(nselect:0)
{mass}(nselect:8) 	 	 {molecular weight, relative molecular mass}(nselect:0)
{mass}(nselect:8) 	 	 {mass defect, mass deficiency}(nselect:0)
{measure, quantity, amount}(nselect:0) 	 	 {definite quantity}(nselect:0)
{definite quantity}(nselect:0) 	 	 {number}(nselect:0)
