root(nselect:0) 	 	 Verbo(nselect:0)
root(nselect:0) 	 	 Substantivo(nselect:0)
Substantivo(nselect:0) 	 	 {entity}(nselect:0)
{entity}(nselect:0) 	 	 {physical entity}(nselect:0)
{physical entity}(nselect:0) 	 	 {object, physical object}(nselect:0)
{object, physical object}(nselect:0) 	 	 {whole, unit}(nselect:0)
{whole, unit}(nselect:0) 	 	 {living thing, animate thing}(nselect:0)
{living thing, animate thing}(nselect:0) 	 	 {organism, being}(nselect:5)
{organism, being}(nselect:5) 	 	 {person, individual, someone, somebody, mortal, soul}(nselect:20)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {leader}(nselect:0)
{leader}(nselect:0) 	 	 {lawgiver, lawmaker}(nselect:0)
{lawgiver, lawmaker}(nselect:0) 	 	 {legislator}(nselect:0)
{legislator}(nselect:0) 	 	 {backbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {congressman, congresswoman, representative}(nselect:0)
{legislator}(nselect:0) 	 	 {crossbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {deputy}(nselect:0)
{legislator}(nselect:0) 	 	 {filibuster, filibusterer}(nselect:0)
{legislator}(nselect:0) 	 	 {floor leader}(nselect:0)
{legislator}(nselect:0) 	 	 {frontbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {majority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {minority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {Parliamentarian, Member of Parliament}(nselect:0)
{legislator}(nselect:0) 	 	 {whip, party whip}(nselect:0)
{legislator}(nselect:0) 	 	 {senator}(nselect:16)
{senator}(nselect:16) 	 	 {state senator}(nselect:0)
{leader}(nselect:0) 	 	 {politician}(nselect:0)
{politician}(nselect:0) 	 	 {legislator}(nselect:0)
{legislator}(nselect:0) 	 	 {backbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {congressman, congresswoman, representative}(nselect:0)
{legislator}(nselect:0) 	 	 {crossbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {deputy}(nselect:0)
{legislator}(nselect:0) 	 	 {filibuster, filibusterer}(nselect:0)
{legislator}(nselect:0) 	 	 {floor leader}(nselect:0)
{legislator}(nselect:0) 	 	 {frontbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {majority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {minority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {Parliamentarian, Member of Parliament}(nselect:0)
{legislator}(nselect:0) 	 	 {whip, party whip}(nselect:0)
{legislator}(nselect:0) 	 	 {senator}(nselect:16)
{senator}(nselect:16) 	 	 {state senator}(nselect:0)
{politician}(nselect:0) 	 	 {governor}(nselect:0)
{politician}(nselect:0) 	 	 {mayor, city manager}(nselect:4)
{mayor, city manager}(nselect:4) 	 	 {ex-mayor}(nselect:0)
{mayor, city manager}(nselect:4) 	 	 {alcalde}(nselect:0)
{mayor, city manager}(nselect:4) 	 	 {burgomaster}(nselect:0)
{mayor, city manager}(nselect:4) 	 	 {mayoress}(nselect:0)
{leader}(nselect:0) 	 	 {presiding officer}(nselect:0)
{presiding officer}(nselect:0) 	 	 {moderator}(nselect:0)
{presiding officer}(nselect:0) 	 	 {moderator}(nselect:0)
{presiding officer}(nselect:0) 	 	 {Speaker}(nselect:0)
{presiding officer}(nselect:0) 	 	 {president, chairman, chairwoman, chair, chairperson}(nselect:2)
{president, chairman, chairwoman, chair, chairperson}(nselect:2) 	 	 {Kalon Tripa}(nselect:0)
{president, chairman, chairwoman, chair, chairperson}(nselect:2) 	 	 {vice chairman}(nselect:0)
{leader}(nselect:0) 	 	 {head, chief, top dog}(nselect:0)
{head, chief, top dog}(nselect:0) 	 	 {administrator, decision maker}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {executive, executive director}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {corporate executive, business executive}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {rainmaker}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {Surgeon General}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {vice president, V.P.}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {minister, government minister}(nselect:4)
{minister, government minister}(nselect:4) 	 	 {cabinet minister}(nselect:0)
{minister, government minister}(nselect:4) 	 	 {finance minister, minister of finance}(nselect:0)
{minister, government minister}(nselect:4) 	 	 {foreign minister, secretary of state}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {relative, relation}(nselect:0)
{relative, relation}(nselect:0) 	 	 {offspring, progeny, issue}(nselect:0)
{offspring, progeny, issue}(nselect:0) 	 	 {baby}(nselect:0)
{offspring, progeny, issue}(nselect:0) 	 	 {bastard, by-blow, love child, illegitimate child, illegitimate, whoreson}(nselect:0)
{offspring, progeny, issue}(nselect:0) 	 	 {firstborn, eldest}(nselect:0)
{offspring, progeny, issue}(nselect:0) 	 	 {grandchild}(nselect:0)
{offspring, progeny, issue}(nselect:0) 	 	 {successor, heir}(nselect:0)
{offspring, progeny, issue}(nselect:0) 	 	 {child, kid}(nselect:2)
{child, kid}(nselect:2) 	 	 {army brat}(nselect:0)
{child, kid}(nselect:2) 	 	 {baby, babe, infant}(nselect:0)
{child, kid}(nselect:2) 	 	 {female offspring}(nselect:0)
{female offspring}(nselect:0) 	 	 {daughter, girl}(nselect:1)
{daughter, girl}(nselect:1) 	 	 {mother's daughter}(nselect:0)
{child, kid}(nselect:2) 	 	 {male offspring, man-child}(nselect:0)
{male offspring, man-child}(nselect:0) 	 	 {son, boy}(nselect:1)
{son, boy}(nselect:1) 	 	 {Junior, Jr, Jnr}(nselect:0)
{son, boy}(nselect:1) 	 	 {mother's boy, mamma's boy, mama's boy}(nselect:0)
{child, kid}(nselect:2) 	 	 {stepchild}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {authority}(nselect:0)
{authority}(nselect:0) 	 	 {civil authority, civil officer}(nselect:0)
{civil authority, civil officer}(nselect:0) 	 	 {mayor, city manager}(nselect:4)
