root(nselect:0) 	 	 Verbo(nselect:0)
root(nselect:0) 	 	 Substantivo(nselect:0)
Substantivo(nselect:0) 	 	 {entity}(nselect:0)
{entity}(nselect:0) 	 	 {abstraction, abstract entity}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {group, grouping}(nselect:0)
{group, grouping}(nselect:0) 	 	 {social group}(nselect:0)
{social group}(nselect:0) 	 	 {organization, organisation}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {institution, establishment}(nselect:3)
{institution, establishment}(nselect:3) 	 	 {financial institution, financial organization, financial organisation}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {giro}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {clearing house}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {lending institution}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {central bank}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {foundation}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {acquirer}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {nondepository financial institution}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {Federal Home Loan Bank System}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {trust company, trust corporation}(nselect:0)
{financial institution, financial organization, financial organisation}(nselect:0) 	 	 {depository financial institution, bank, banking concern, banking company}(nselect:12)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {credit union}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {Federal Reserve Bank, reserve bank}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {agent bank}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {commercial bank, full service bank}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {state bank}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {lead bank, agent bank}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {member bank}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {merchant bank, acquirer}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {acquirer}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {thrift institution}(nselect:0)
{depository financial institution, bank, banking concern, banking company}(nselect:12) 	 	 {Home Loan Bank}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {medical institution}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {issuer}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {charity}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {religion, faith, organized religion}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {vicariate, vicarship}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {educational institution}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {academy, honorary society}(nselect:0)
{institution, establishment}(nselect:3) 	 	 {company}(nselect:8)
{company}(nselect:8) 	 	 {broadcasting company}(nselect:0)
{company}(nselect:8) 	 	 {bureau de change}(nselect:0)
{company}(nselect:8) 	 	 {car company, auto company}(nselect:0)
{company}(nselect:8) 	 	 {dot-com, dot com, dot com company}(nselect:0)
{company}(nselect:8) 	 	 {drug company, pharmaceutical company, pharma}(nselect:0)
{company}(nselect:8) 	 	 {East India Company}(nselect:0)
{company}(nselect:8) 	 	 {electronics company}(nselect:0)
{company}(nselect:8) 	 	 {film company}(nselect:0)
{company}(nselect:8) 	 	 {food company}(nselect:0)
{company}(nselect:8) 	 	 {furniture company}(nselect:0)
{company}(nselect:8) 	 	 {mining company}(nselect:0)
{company}(nselect:8) 	 	 {shipping company}(nselect:0)
{company}(nselect:8) 	 	 {steel company}(nselect:0)
{company}(nselect:8) 	 	 {subsidiary company, subsidiary}(nselect:0)
{company}(nselect:8) 	 	 {transportation company}(nselect:0)
{company}(nselect:8) 	 	 {distributor}(nselect:0)
{company}(nselect:8) 	 	 {oil company}(nselect:0)
{company}(nselect:8) 	 	 {packaging company, packaging concern}(nselect:0)
{company}(nselect:8) 	 	 {pipeline company}(nselect:0)
{company}(nselect:8) 	 	 {printing concern, printing business, printing company}(nselect:0)
{company}(nselect:8) 	 	 {corporate investor}(nselect:0)
{company}(nselect:8) 	 	 {target company, takeover target}(nselect:0)
{company}(nselect:8) 	 	 {white knight}(nselect:0)
{company}(nselect:8) 	 	 {limited company, Ltd., Ld.}(nselect:0)
{company}(nselect:8) 	 	 {holding company}(nselect:0)
{company}(nselect:8) 	 	 {service}(nselect:0)
{company}(nselect:8) 	 	 {livery company}(nselect:0)
{company}(nselect:8) 	 	 {open shop}(nselect:0)
{company}(nselect:8) 	 	 {closed shop}(nselect:0)
{company}(nselect:8) 	 	 {union shop}(nselect:0)
{company}(nselect:8) 	 	 {stock company}(nselect:0)
{company}(nselect:8) 	 	 {joint-stock company}(nselect:0)
{company}(nselect:8) 	 	 {record company}(nselect:0)
{company}(nselect:8) 	 	 {mover, public mover, moving company, removal firm, removal company}(nselect:0)
{company}(nselect:8) 	 	 {think tank, think factory}(nselect:0)
{company}(nselect:8) 	 	 {shipper}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {adhocracy}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {affiliate}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {bureaucracy}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {nongovernmental organization, NGO}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {Tammany Hall, Tammany Society, Tammany}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {fiefdom}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {line of defense, line of defence}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {line organization, line organisation}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {association}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {polity}(nselect:0)
