root(nselect:0) 	 	 Verbo(nselect:0)
root(nselect:0) 	 	 Substantivo(nselect:0)
Substantivo(nselect:0) 	 	 {entity}(nselect:0)
{entity}(nselect:0) 	 	 {abstraction, abstract entity}(nselect:0)
{abstraction, abstract entity}(nselect:0) 	 	 {group, grouping}(nselect:0)
{group, grouping}(nselect:0) 	 	 {social group}(nselect:0)
{social group}(nselect:0) 	 	 {organization, organisation}(nselect:0)
{organization, organisation}(nselect:0) 	 	 {unit, social unit}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {klavern}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {administrative unit, administrative body}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {company}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {family, household, house, home, menage}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {general delivery, poste restante}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {instrumentality}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {intensive care unit, ICU}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {member}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {military unit, military force, military group, force}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {task force}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {den}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {gang, crew, work party}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {combination}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {crew}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {troop, scout troop, scout group}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {outfit}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {fifth column, Trojan horse}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {political unit, political entity}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {Holy Roman Empire}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {union}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {Palestine National Authority, Palestinian National Authority, Palestine Authority}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {cell, cadre}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {amphictyony}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {lunatic fringe}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {revolutionary group}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {lobby, pressure group, third house}(nselect:0)
{political unit, political entity}(nselect:0) 	 	 {state, nation, country, land, commonwealth, res publica, body politic}(nselect:4)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {commonwealth country}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {developing country}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {Dominion}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {foreign country}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {Reich}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {rogue state, renegade state, rogue nation}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {suzerain}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {sea power}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {world power, major power, great power, power, superpower}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {city state, city-state}(nselect:0)
{state, nation, country, land, commonwealth, res publica, body politic}(nselect:4) 	 	 {ally}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {side}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {working group, working party}(nselect:0)
{unit, social unit}(nselect:0) 	 	 {team, squad}(nselect:68)
{team, squad}(nselect:68) 	 	 {A-team}(nselect:0)
{team, squad}(nselect:68) 	 	 {battery}(nselect:0)
{team, squad}(nselect:68) 	 	 {flying squad}(nselect:0)
{team, squad}(nselect:68) 	 	 {major-league team, major-league club}(nselect:0)
{team, squad}(nselect:68) 	 	 {minor-league team, minor-league club}(nselect:0)
{team, squad}(nselect:68) 	 	 {baseball team}(nselect:0)
{team, squad}(nselect:68) 	 	 {basketball team, five}(nselect:0)
{team, squad}(nselect:68) 	 	 {football team, eleven}(nselect:0)
{team, squad}(nselect:68) 	 	 {hockey team}(nselect:0)
{team, squad}(nselect:68) 	 	 {junior varsity, JV}(nselect:0)
{team, squad}(nselect:68) 	 	 {varsity, first team}(nselect:0)
{team, squad}(nselect:68) 	 	 {second string}(nselect:0)
{team, squad}(nselect:68) 	 	 {police squad, squad}(nselect:0)
{team, squad}(nselect:68) 	 	 {powerhouse}(nselect:0)
{team, squad}(nselect:68) 	 	 {offense, offence}(nselect:0)
{team, squad}(nselect:68) 	 	 {defense, defence, defending team}(nselect:4)
{team, squad}(nselect:68) 	 	 {hit squad}(nselect:0)
{team, squad}(nselect:68) 	 	 {section}(nselect:0)
{team, squad}(nselect:68) 	 	 {little-league team}(nselect:0)
{team, squad}(nselect:68) 	 	 {crew}(nselect:0)
{social group}(nselect:0) 	 	 {gathering, assemblage}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {building}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {carload}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {contingent}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {floor}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {pair}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {room}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {trio, threesome, triad, trinity}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {turnout}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {quintet, quintette, fivesome}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {sextet, sextette, sixsome}(nselect:0)
{gathering, assemblage}(nselect:0) 	 	 {septet, septette, sevensome}(nselect:0)
