root(nselect:0) 	 	 Verbo(nselect:0)
root(nselect:0) 	 	 Substantivo(nselect:0)
Substantivo(nselect:0) 	 	 {entity}(nselect:0)
{entity}(nselect:0) 	 	 {physical entity}(nselect:0)
{physical entity}(nselect:0) 	 	 {object, physical object}(nselect:0)
{object, physical object}(nselect:0) 	 	 {whole, unit}(nselect:0)
{whole, unit}(nselect:0) 	 	 {living thing, animate thing}(nselect:0)
{living thing, animate thing}(nselect:0) 	 	 {organism, being}(nselect:0)
{organism, being}(nselect:0) 	 	 {person, individual, someone, somebody, mortal, soul}(nselect:4)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {leader}(nselect:6)
{leader}(nselect:6) 	 	 {presiding officer}(nselect:0)
{presiding officer}(nselect:0) 	 	 {moderator}(nselect:0)
{presiding officer}(nselect:0) 	 	 {moderator}(nselect:0)
{presiding officer}(nselect:0) 	 	 {Speaker}(nselect:0)
{presiding officer}(nselect:0) 	 	 {president, chairman, chairwoman, chair, chairperson}(nselect:17)
{president, chairman, chairwoman, chair, chairperson}(nselect:17) 	 	 {Kalon Tripa}(nselect:0)
{president, chairman, chairwoman, chair, chairperson}(nselect:17) 	 	 {vice chairman}(nselect:0)
{leader}(nselect:6) 	 	 {lawgiver, lawmaker}(nselect:0)
{lawgiver, lawmaker}(nselect:0) 	 	 {legislator}(nselect:6)
{legislator}(nselect:6) 	 	 {backbencher}(nselect:0)
{legislator}(nselect:6) 	 	 {congressman, congresswoman, representative}(nselect:0)
{legislator}(nselect:6) 	 	 {crossbencher}(nselect:0)
{legislator}(nselect:6) 	 	 {deputy}(nselect:36)
{legislator}(nselect:6) 	 	 {filibuster, filibusterer}(nselect:0)
{legislator}(nselect:6) 	 	 {floor leader}(nselect:0)
{legislator}(nselect:6) 	 	 {frontbencher}(nselect:0)
{legislator}(nselect:6) 	 	 {majority leader}(nselect:0)
{legislator}(nselect:6) 	 	 {minority leader}(nselect:0)
{legislator}(nselect:6) 	 	 {Parliamentarian, Member of Parliament}(nselect:0)
{legislator}(nselect:6) 	 	 {whip, party whip}(nselect:0)
{legislator}(nselect:6) 	 	 {senator}(nselect:41)
{senator}(nselect:41) 	 	 {state senator}(nselect:0)
{lawgiver, lawmaker}(nselect:0) 	 	 {promulgator}(nselect:0)
{leader}(nselect:6) 	 	 {politician}(nselect:0)
{politician}(nselect:0) 	 	 {legislator}(nselect:0)
{legislator}(nselect:0) 	 	 {backbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {congressman, congresswoman, representative}(nselect:0)
{legislator}(nselect:0) 	 	 {crossbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {deputy}(nselect:0)
{legislator}(nselect:0) 	 	 {filibuster, filibusterer}(nselect:0)
{legislator}(nselect:0) 	 	 {floor leader}(nselect:0)
{legislator}(nselect:0) 	 	 {frontbencher}(nselect:0)
{legislator}(nselect:0) 	 	 {majority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {minority leader}(nselect:0)
{legislator}(nselect:0) 	 	 {Parliamentarian, Member of Parliament}(nselect:0)
{legislator}(nselect:0) 	 	 {whip, party whip}(nselect:0)
{legislator}(nselect:0) 	 	 {senator}(nselect:6)
{senator}(nselect:6) 	 	 {state senator}(nselect:0)
{politician}(nselect:0) 	 	 {governor}(nselect:0)
{politician}(nselect:0) 	 	 {mayor, city manager}(nselect:0)
{leader}(nselect:6) 	 	 {politician, politico, pol, political leader}(nselect:15)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Communist}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {demagogue, demagog, rabble-rouser}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Democrat}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Federalist}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Labourite}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {machine politician, ward-heeler, political hack, hack}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Mugwump}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {noncandidate}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {party boss, political boss, boss}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {party man, party liner}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Republican}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {sachem}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {socialist}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {standard-bearer}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {statesman, solon, national leader}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {technocrat}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Whig}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {Potemkin, Potyokin, Grigori Potemkin, Grigori Potyokin, Grigori Aleksandrovich Potemkin}(nselect:0)
{politician, politico, pol, political leader}(nselect:15) 	 	 {campaigner, candidate, nominee}(nselect:25)
{campaigner, candidate, nominee}(nselect:25) 	 	 {dark horse}(nselect:0)
{campaigner, candidate, nominee}(nselect:25) 	 	 {favorite son}(nselect:0)
{campaigner, candidate, nominee}(nselect:25) 	 	 {running mate}(nselect:0)
{campaigner, candidate, nominee}(nselect:25) 	 	 {spoiler}(nselect:0)
{campaigner, candidate, nominee}(nselect:25) 	 	 {stalking-horse}(nselect:0)
{campaigner, candidate, nominee}(nselect:25) 	 	 {write-in candidate, write-in}(nselect:0)
{leader}(nselect:6) 	 	 {head, chief, top dog}(nselect:0)
{head, chief, top dog}(nselect:0) 	 	 {administrator, decision maker}(nselect:0)
{administrator, decision maker}(nselect:0) 	 	 {executive, executive director}(nselect:0)
{executive, executive director}(nselect:0) 	 	 {corporate executive, business executive}(nselect:0)
{corporate executive, business executive}(nselect:0) 	 	 {chairman of the board}(nselect:0)
