Verbo(nselect:0) 	 	 {record, register}(nselect:1)
Verbo(nselect:0) 	 	 {contend, fight, struggle}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {bear down}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {fistfight}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {join battle}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {tug}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {fight, oppose, fight back, fight down, defend}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {recalcitrate}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {resist, stand, fend}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {repel, repulse, fight off, rebuff, drive back}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {resist, hold out, withstand, stand firm}(nselect:1)
{resist, hold out, withstand, stand firm}(nselect:1) 	 	 {stand out}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:1) 	 	 {stand up}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:1) 	 	 {outbrave}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:1) 	 	 {hold off}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:1) 	 	 {stand, remain firm}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:1) 	 	 {defy, withstand, hold, hold up}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {settle, get back}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {fight back}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {battle, combat}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {war}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {duel}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {joust}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {chicken-fight, chickenfight}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {tourney}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {feud}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {skirmish}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {bandy}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {fence}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {box}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {spar}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {scuffle, tussle}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {wrestle}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {engage, wage}(nselect:0)
{contend, fight, struggle}(nselect:0) 	 	 {attack, assail}(nselect:2)
{attack, assail}(nselect:2) 	 	 {submarine}(nselect:0)
{attack, assail}(nselect:2) 	 	 {pepper, pelt}(nselect:0)
{attack, assail}(nselect:2) 	 	 {strike, hit}(nselect:1)
{strike, hit}(nselect:1) 	 	 {slice}(nselect:0)
{strike, hit}(nselect:1) 	 	 {chop}(nselect:0)
{strike, hit}(nselect:1) 	 	 {stroke}(nselect:0)
{strike, hit}(nselect:1) 	 	 {retaliate, strike back}(nselect:0)
{attack, assail}(nselect:2) 	 	 {counterattack, counterstrike}(nselect:0)
{attack, assail}(nselect:2) 	 	 {gas}(nselect:0)
{attack, assail}(nselect:2) 	 	 {storm, surprise}(nselect:0)
{attack, assail}(nselect:2) 	 	 {blitz}(nselect:0)
{attack, assail}(nselect:2) 	 	 {invade, occupy}(nselect:0)
{attack, assail}(nselect:2) 	 	 {besiege, beleaguer, surround, hem in, circumvent}(nselect:0)
{attack, assail}(nselect:2) 	 	 {bombard, bomb}(nselect:0)
{attack, assail}(nselect:2) 	 	 {strafe}(nselect:0)
{attack, assail}(nselect:2) 	 	 {cannonade}(nselect:0)
{attack, assail}(nselect:2) 	 	 {torpedo}(nselect:0)
{attack, assail}(nselect:2) 	 	 {raid, bust}(nselect:0)
Verbo(nselect:0) 	 	 {move, displace}(nselect:0)
{move, displace}(nselect:0) 	 	 {propel, impel}(nselect:1)
{propel, impel}(nselect:1) 	 	 {flip}(nselect:0)
{propel, impel}(nselect:1) 	 	 {rocket}(nselect:0)
{propel, impel}(nselect:1) 	 	 {carry}(nselect:0)
{propel, impel}(nselect:1) 	 	 {kick}(nselect:0)
{propel, impel}(nselect:1) 	 	 {punt, pole}(nselect:0)
{propel, impel}(nselect:1) 	 	 {hit}(nselect:0)
{propel, impel}(nselect:1) 	 	 {drive}(nselect:0)
{propel, impel}(nselect:1) 	 	 {launch}(nselect:0)
{propel, impel}(nselect:1) 	 	 {catapult}(nselect:0)
{propel, impel}(nselect:1) 	 	 {project, send off}(nselect:0)
{propel, impel}(nselect:1) 	 	 {loft}(nselect:0)
{propel, impel}(nselect:1) 	 	 {throw}(nselect:4)
{throw}(nselect:4) 	 	 {slam, flap down}(nselect:0)
{throw}(nselect:4) 	 	 {ground}(nselect:0)
{throw}(nselect:4) 	 	 {prostrate}(nselect:0)
{throw}(nselect:4) 	 	 {hurl, hurtle, cast}(nselect:0)
{throw}(nselect:4) 	 	 {heave}(nselect:0)
{throw}(nselect:4) 	 	 {pelt, bombard}(nselect:0)
{throw}(nselect:4) 	 	 {defenestrate}(nselect:0)
{throw}(nselect:4) 	 	 {deliver, pitch}(nselect:0)
{throw}(nselect:4) 	 	 {shy}(nselect:0)
{throw}(nselect:4) 	 	 {drive}(nselect:0)
{throw}(nselect:4) 	 	 {deep-six, throw overboard}(nselect:0)
{throw}(nselect:4) 	 	 {ridge}(nselect:0)
{throw}(nselect:4) 	 	 {jettison}(nselect:0)
