Verbo(nselect:0) 	 	 {record, register}(nselect:4)
Verbo(nselect:0) 	 	 {be}(nselect:9)
{be}(nselect:9) 	 	 {look}(nselect:0)
{be}(nselect:9) 	 	 {suffer, hurt}(nselect:0)
{be}(nselect:9) 	 	 {be well}(nselect:0)
{be}(nselect:9) 	 	 {suffer}(nselect:0)
{be}(nselect:9) 	 	 {feel}(nselect:0)
{be}(nselect:9) 	 	 {stay, remain, rest}(nselect:0)
{be}(nselect:9) 	 	 {continue}(nselect:0)
{be}(nselect:9) 	 	 {sparkle, scintillate, coruscate}(nselect:0)
{be}(nselect:9) 	 	 {confuse, throw, fox, befuddle, fuddle, bedevil, confound, discombobulate}(nselect:0)
{be}(nselect:9) 	 	 {rank}(nselect:0)
{be}(nselect:9) 	 	 {point}(nselect:0)
{be}(nselect:9) 	 	 {want, need, require}(nselect:0)
{be}(nselect:9) 	 	 {compact, pack}(nselect:0)
{be}(nselect:9) 	 	 {rest}(nselect:0)
{be}(nselect:9) 	 	 {cut}(nselect:0)
{be}(nselect:9) 	 	 {seethe, boil}(nselect:0)
{be}(nselect:9) 	 	 {mope, moon around, moon about}(nselect:0)
{be}(nselect:9) 	 	 {look, appear, seem}(nselect:0)
{be}(nselect:9) 	 	 {appear, seem}(nselect:0)
{be}(nselect:9) 	 	 {owe}(nselect:0)
{be}(nselect:9) 	 	 {belong}(nselect:2)
{be}(nselect:9) 	 	 {cover}(nselect:0)
{be}(nselect:9) 	 	 {represent}(nselect:0)
{be}(nselect:9) 	 	 {account}(nselect:0)
{be}(nselect:9) 	 	 {cut across}(nselect:0)
{be}(nselect:9) 	 	 {begin, start}(nselect:0)
{be}(nselect:9) 	 	 {begin}(nselect:0)
{be}(nselect:9) 	 	 {stand}(nselect:0)
{be}(nselect:9) 	 	 {specify, define, delineate, delimit, delimitate}(nselect:0)
{be}(nselect:9) 	 	 {go}(nselect:0)
{be}(nselect:9) 	 	 {make sense, add up}(nselect:0)
{be}(nselect:9) 	 	 {consist, comprise}(nselect:0)
