Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{act, move}(nselect:0) 	 	 {interact}(nselect:0)
{interact}(nselect:0) 	 	 {communicate, intercommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inform}(nselect:0)
{inform}(nselect:0) 	 	 {tell}(nselect:0)
{tell}(nselect:0) 	 	 {digress, stray, divagate, wander}(nselect:0)
{tell}(nselect:0) 	 	 {bespeak, betoken, indicate, point, signal}(nselect:0)
{tell}(nselect:0) 	 	 {spill, talk}(nselect:0)
{tell}(nselect:0) 	 	 {publicize, publicise, air, bare}(nselect:0)
{tell}(nselect:0) 	 	 {repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {perseverate}(nselect:0)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {ditto}(nselect:0)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {harp, dwell}(nselect:0)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {translate, interpret, render}(nselect:0)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {paraphrase, rephrase, reword}(nselect:0)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {sum up, summarize, summarise, resume}(nselect:0)
{repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:1) 	 	 {quote, cite}(nselect:0)
{tell}(nselect:0) 	 	 {propagandize, propagandise}(nselect:0)
{tell}(nselect:0) 	 	 {announce, annunciate, harbinger, foretell, herald}(nselect:0)
{tell}(nselect:0) 	 	 {impart, leave, give, pass on}(nselect:0)
{impart, leave, give, pass on}(nselect:0) 	 	 {convey}(nselect:0)
{convey}(nselect:0) 	 	 {express, show, evince}(nselect:3)
{express, show, evince}(nselect:3) 	 	 {sneer}(nselect:0)
{express, show, evince}(nselect:3) 	 	 {imply, connote}(nselect:0)
{express, show, evince}(nselect:3) 	 	 {burst out}(nselect:0)
{express, show, evince}(nselect:3) 	 	 {suggest, evoke, paint a picture}(nselect:0)
{express, show, evince}(nselect:3) 	 	 {imply}(nselect:0)
{express, show, evince}(nselect:3) 	 	 {give}(nselect:0)
