Verbo(nselect:0) 	 	 {perform, execute, do}(nselect:67)
{perform, execute, do}(nselect:67) 	 	 {click off}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {carry}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {pipe up}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {declaim, recite}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {serenade}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {cut corners}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {stunt}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {cut}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {blaze away}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {scamp}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {churn out}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {premier, premiere}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {star}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {appear}(nselect:4)
{perform, execute, do}(nselect:67) 	 	 {rehearse, practise, practice}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {improvise, improvize, ad-lib, extemporize, extemporise}(nselect:1)
{perform, execute, do}(nselect:67) 	 	 {interpret, render}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {conduct, lead, direct}(nselect:0)
{perform, execute, do}(nselect:67) 	 	 {make}(nselect:0)
Verbo(nselect:0) 	 	 {kill}(nselect:25)
{kill}(nselect:25) 	 	 {eliminate, annihilate, extinguish, eradicate, wipe out, decimate, carry off}(nselect:0)
{kill}(nselect:25) 	 	 {decimate}(nselect:0)
{kill}(nselect:25) 	 	 {drown}(nselect:0)
{kill}(nselect:25) 	 	 {massacre, slaughter, mow down}(nselect:0)
{kill}(nselect:25) 	 	 {erase, wipe out}(nselect:1)
{kill}(nselect:25) 	 	 {butcher, slaughter}(nselect:0)
{kill}(nselect:25) 	 	 {poison}(nselect:0)
