Verbo(nselect:0) 	 	 {perform, execute, do}(nselect:5)
{perform, execute, do}(nselect:5) 	 	 {click off}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {carry}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {pipe up}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {declaim, recite}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {serenade}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {cut corners}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {stunt}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {cut}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {blaze away}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {scamp}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {churn out}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {premier, premiere}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {star}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {appear}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {rehearse, practise, practice}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {improvise, improvize, ad-lib, extemporize, extemporise}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {interpret, render}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {conduct, lead, direct}(nselect:0)
{perform, execute, do}(nselect:5) 	 	 {make}(nselect:0)
Verbo(nselect:0) 	 	 {kill}(nselect:25)
{kill}(nselect:25) 	 	 {eliminate, annihilate, extinguish, eradicate, wipe out, decimate, carry off}(nselect:0)
{kill}(nselect:25) 	 	 {decimate}(nselect:0)
{kill}(nselect:25) 	 	 {drown}(nselect:0)
{kill}(nselect:25) 	 	 {massacre, slaughter, mow down}(nselect:0)
{kill}(nselect:25) 	 	 {erase, wipe out}(nselect:0)
{kill}(nselect:25) 	 	 {butcher, slaughter}(nselect:0)
{kill}(nselect:25) 	 	 {poison}(nselect:0)
{kill}(nselect:25) 	 	 {stone, lapidate}(nselect:0)
{kill}(nselect:25) 	 	 {poison}(nselect:0)
{kill}(nselect:25) 	 	 {commit suicide}(nselect:4)
{kill}(nselect:25) 	 	 {dispatch}(nselect:0)
{kill}(nselect:25) 	 	 {zap, vaporize}(nselect:0)
{kill}(nselect:25) 	 	 {sacrifice}(nselect:0)
{kill}(nselect:25) 	 	 {take off}(nselect:0)
{kill}(nselect:25) 	 	 {tomahawk}(nselect:0)
{kill}(nselect:25) 	 	 {destroy, put down}(nselect:0)
{kill}(nselect:25) 	 	 {saber, sabre}(nselect:0)
{kill}(nselect:25) 	 	 {overlie, overlay}(nselect:0)
{kill}(nselect:25) 	 	 {brain}(nselect:0)
{kill}(nselect:25) 	 	 {put away, put to sleep}(nselect:0)
{kill}(nselect:25) 	 	 {neutralize, neutralise, liquidate, waste, knock off, do in}(nselect:0)
{kill}(nselect:25) 	 	 {exterminate, kill off}(nselect:0)
{kill}(nselect:25) 	 	 {smother, asphyxiate, suffocate}(nselect:0)
{kill}(nselect:25) 	 	 {strangle, strangulate, throttle}(nselect:0)
{kill}(nselect:25) 	 	 {decapitate, behead, decollate}(nselect:0)
{kill}(nselect:25) 	 	 {impale, stake}(nselect:0)
{kill}(nselect:25) 	 	 {dismember}(nselect:0)
{kill}(nselect:25) 	 	 {martyr}(nselect:0)
{kill}(nselect:25) 	 	 {shed blood}(nselect:0)
{kill}(nselect:25) 	 	 {murder, slay, hit, dispatch, bump off, off, polish off, remove}(nselect:0)
{kill}(nselect:25) 	 	 {assassinate}(nselect:1)
{kill}(nselect:25) 	 	 {execute, put to death}(nselect:0)
{kill}(nselect:25) 	 	 {draw, quarter, draw and quarter}(nselect:0)
{kill}(nselect:25) 	 	 {lynch}(nselect:0)
{kill}(nselect:25) 	 	 {shoot, pip}(nselect:2)
{shoot, pip}(nselect:2) 	 	 {flight}(nselect:0)
{shoot, pip}(nselect:2) 	 	 {pick off}(nselect:0)
{kill}(nselect:25) 	 	 {electrocute, fry}(nselect:0)
Verbo(nselect:0) 	 	 {contend, fight, struggle}(nselect:2)
{contend, fight, struggle}(nselect:2) 	 	 {bear down}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fistfight}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {join battle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {tug}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fight, oppose, fight back, fight down, defend}(nselect:0)
{fight, oppose, fight back, fight down, defend}(nselect:0) 	 	 {resist, hold out, withstand, stand firm}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:0) 	 	 {stand out}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:0) 	 	 {stand up}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:0) 	 	 {outbrave}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:0) 	 	 {hold off}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:0) 	 	 {stand, remain firm}(nselect:0)
{resist, hold out, withstand, stand firm}(nselect:0) 	 	 {defy, withstand, hold, hold up}(nselect:1)
{defy, withstand, hold, hold up}(nselect:1) 	 	 {weather, endure, brave, brave out}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {settle, get back}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fight back}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {battle, combat}(nselect:3)
{battle, combat}(nselect:3) 	 	 {dogfight}(nselect:0)
{battle, combat}(nselect:3) 	 	 {wrestle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {war}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {attack, assail}(nselect:1)
{attack, assail}(nselect:1) 	 	 {submarine}(nselect:0)
{attack, assail}(nselect:1) 	 	 {pepper, pelt}(nselect:0)
{attack, assail}(nselect:1) 	 	 {strike, hit}(nselect:0)
{attack, assail}(nselect:1) 	 	 {counterattack, counterstrike}(nselect:0)
{attack, assail}(nselect:1) 	 	 {gas}(nselect:0)
{attack, assail}(nselect:1) 	 	 {storm, surprise}(nselect:0)
{attack, assail}(nselect:1) 	 	 {blitz}(nselect:0)
{attack, assail}(nselect:1) 	 	 {besiege, beleaguer, surround, hem in, circumvent}(nselect:0)
{attack, assail}(nselect:1) 	 	 {bombard, bomb}(nselect:3)
{bombard, bomb}(nselect:3) 	 	 {carpet bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {bomb out}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {dive-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {glide-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {skip-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {atom-bomb, nuke}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {hydrogen-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {pattern-bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {nuke, atomize, atomise, zap}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {letter bomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {firebomb}(nselect:0)
{bombard, bomb}(nselect:3) 	 	 {blast, shell}(nselect:0)
{attack, assail}(nselect:1) 	 	 {strafe}(nselect:0)
{attack, assail}(nselect:1) 	 	 {cannonade}(nselect:0)
{attack, assail}(nselect:1) 	 	 {torpedo}(nselect:0)
{attack, assail}(nselect:1) 	 	 {raid, bust}(nselect:0)
{attack, assail}(nselect:1) 	 	 {invade, occupy}(nselect:2)
{invade, occupy}(nselect:2) 	 	 {infest, overrun}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {duel}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {joust}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {chicken-fight, chickenfight}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {tourney}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {feud}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {skirmish}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {bandy}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {fence}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {box}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {spar}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {scuffle, tussle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {wrestle}(nselect:0)
{contend, fight, struggle}(nselect:2) 	 	 {engage, wage}(nselect:0)
Verbo(nselect:0) 	 	 {make, create}(nselect:0)
