Verbo(nselect:0) 	 	 {have, have got, hold}(nselect:60)
{have, have got, hold}(nselect:60) 	 	 {sustain, keep, maintain}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {keep, hold on}(nselect:0)
{keep, hold on}(nselect:0) 	 	 {save, preserve}(nselect:0)
{save, preserve}(nselect:0) 	 	 {conserve, husband, economize, economise}(nselect:0)
{save, preserve}(nselect:0) 	 	 {record, enter, put down}(nselect:1)
{record, enter, put down}(nselect:1) 	 	 {tally, chalk up}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {clock in, punch in, clock on}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {record, tape}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {accession}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {post}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {ring up}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {manifest}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {inscribe}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {chronicle}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {file, file away}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {document}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {log}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {log up, clock up}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {film, shoot, take}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {videotape, tape}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {photograph, snap, shoot}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {score, mark}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {notch}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {keep, maintain}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {film}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {register}(nselect:1)
{register}(nselect:1) 	 	 {patent}(nselect:0)
{register}(nselect:1) 	 	 {enroll, inscribe, enter, enrol, recruit}(nselect:0)
{register}(nselect:1) 	 	 {list}(nselect:0)
{register}(nselect:1) 	 	 {book}(nselect:0)
{register}(nselect:1) 	 	 {file, register}(nselect:3)
{file, register}(nselect:3) 	 	 {trademark}(nselect:0)
{record, enter, put down}(nselect:1) 	 	 {book}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {keep}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {keep, maintain}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {keep}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {monopolize, monopolise}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {wield, exert, maintain}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {stock, carry, stockpile}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {bear, hold}(nselect:0)
{have, have got, hold}(nselect:60) 	 	 {carry}(nselect:0)
Verbo(nselect:0) 	 	 {change}(nselect:0)
{change}(nselect:0) 	 	 {leave, depart, pull up stakes}(nselect:1)
{leave, depart, pull up stakes}(nselect:1) 	 	 {leave office, quit, step down, resign}(nselect:0)
{leave office, quit, step down, resign}(nselect:0) 	 	 {vacate, resign, renounce, give up}(nselect:1)
{vacate, resign, renounce, give up}(nselect:1) 	 	 {abdicate, renounce}(nselect:10)
{leave office, quit, step down, resign}(nselect:0) 	 	 {retire}(nselect:0)
{leave office, quit, step down, resign}(nselect:0) 	 	 {top out}(nselect:0)
{leave office, quit, step down, resign}(nselect:0) 	 	 {fall}(nselect:0)
{leave, depart, pull up stakes}(nselect:1) 	 	 {drop out}(nselect:0)
{change}(nselect:0) 	 	 {undergo}(nselect:0)
{undergo}(nselect:0) 	 	 {experience, see, go through}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {know, experience, live}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {suffer, meet}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {feel}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {enjoy}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {witness, find, see}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {come}(nselect:0)
{experience, see, go through}(nselect:0) 	 	 {suffer, endure}(nselect:1)
{suffer, endure}(nselect:1) 	 	 {tolerate}(nselect:0)
{suffer, endure}(nselect:1) 	 	 {die}(nselect:0)
{change}(nselect:0) 	 	 {freshen, refresh, refreshen, freshen up}(nselect:0)
{change}(nselect:0) 	 	 {dress, get dressed}(nselect:0)
{change}(nselect:0) 	 	 {grow, develop, produce, get, acquire}(nselect:0)
{change}(nselect:0) 	 	 {regenerate}(nselect:0)
{change}(nselect:0) 	 	 {shade}(nselect:0)
{change}(nselect:0) 	 	 {gel}(nselect:0)
{change}(nselect:0) 	 	 {brutalize, brutalise, animalize, animalise}(nselect:0)
{change}(nselect:0) 	 	 {convert}(nselect:0)
{change}(nselect:0) 	 	 {creolize}(nselect:0)
{change}(nselect:0) 	 	 {mutate}(nselect:0)
{change}(nselect:0) 	 	 {have, experience}(nselect:0)
{change}(nselect:0) 	 	 {decrepitate}(nselect:0)
{change}(nselect:0) 	 	 {suburbanize, suburbanise}(nselect:0)
{change}(nselect:0) 	 	 {roll, roll up}(nselect:0)
{change}(nselect:0) 	 	 {glaze, glass, glass over, glaze over}(nselect:0)
{change}(nselect:0) 	 	 {turn, grow}(nselect:0)
{change}(nselect:0) 	 	 {barbarize, barbarise}(nselect:0)
{change}(nselect:0) 	 	 {alkalinize, alkalinise}(nselect:0)
{change}(nselect:0) 	 	 {change by reversal, turn, reverse}(nselect:2)
{change by reversal, turn, reverse}(nselect:2) 	 	 {interchange, tack, switch, alternate, flip, flip-flop}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {turn the tables, turn the tide}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {commutate}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {switch over, switch, exchange}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {correct, rectify, right}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {falsify}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {permute, commute, transpose}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {metamorphose, transfigure, transmogrify}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {revert, return, retrovert, regress, turn back}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {desynchronize, desynchronise}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {desecrate, unhallow, deconsecrate}(nselect:0)
{change by reversal, turn, reverse}(nselect:2) 	 	 {undo}(nselect:0)
{change}(nselect:0) 	 	 {change integrity}(nselect:0)
{change integrity}(nselect:0) 	 	 {reform}(nselect:0)
{change integrity}(nselect:0) 	 	 {polymerize, polymerise}(nselect:0)
{change integrity}(nselect:0) 	 	 {polymerize, polymerise}(nselect:0)
{change integrity}(nselect:0) 	 	 {explode, burst}(nselect:0)
{change integrity}(nselect:0) 	 	 {explode, detonate, blow up, set off}(nselect:0)
{change integrity}(nselect:0) 	 	 {cook}(nselect:0)
{change integrity}(nselect:0) 	 	 {break up, disperse, scatter}(nselect:0)
{change integrity}(nselect:0) 	 	 {break, separate, split up, fall apart, come apart}(nselect:0)
{change integrity}(nselect:0) 	 	 {pasteurize, pasteurise}(nselect:0)
{change integrity}(nselect:0) 	 	 {condense}(nselect:0)
{change integrity}(nselect:0) 	 	 {evaporate, vaporize, vaporise}(nselect:0)
{change integrity}(nselect:0) 	 	 {burn, incinerate}(nselect:0)
{change integrity}(nselect:0) 	 	 {blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge}(nselect:0)
{change integrity}(nselect:0) 	 	 {disintegrate}(nselect:0)
{change integrity}(nselect:0) 	 	 {disintegrate, decay, decompose}(nselect:0)
{change integrity}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change integrity}(nselect:0) 	 	 {gasify, vaporize, vaporise, aerify}(nselect:0)
{change integrity}(nselect:0) 	 	 {liquefy, flux, liquify}(nselect:0)
{change integrity}(nselect:0) 	 	 {solidify}(nselect:0)
{change integrity}(nselect:0) 	 	 {solidify}(nselect:0)
{change integrity}(nselect:0) 	 	 {crystallize, crystallise, crystalize, crystalise}(nselect:0)
{change integrity}(nselect:0) 	 	 {dissolve, resolve, break up}(nselect:0)
{change integrity}(nselect:0) 	 	 {demulsify}(nselect:0)
{change integrity}(nselect:0) 	 	 {jellify, jelly}(nselect:0)
{change integrity}(nselect:0) 	 	 {jellify}(nselect:0)
{change integrity}(nselect:0) 	 	 {separate}(nselect:0)
{change integrity}(nselect:0) 	 	 {crumble, crumple, tumble, break down, collapse}(nselect:0)
{change integrity}(nselect:0) 	 	 {divide, split, split up, separate, dissever, carve up}(nselect:1)
{divide, split, split up, separate, dissever, carve up}(nselect:1) 	 	 {subdivide}(nselect:0)
