,rouge_1_f_score,rouge_1_precision,rouge_1_recall,rouge_2_f_score,rouge_2_precision,rouge_2_recall,rouge_3_f_score,rouge_3_precision,rouge_3_recall,rouge_4_f_score,rouge_4_precision,rouge_4_recall,rouge_su4_f_score,rouge_su4_precision,rouge_su4_recall
0,0.87506,0.98724,0.78578,0.78127,0.88153,0.70148,0.62854,0.7093,0.56429,0.53533,0.60419,0.48056,0.82901,0.93561,0.74421
1,0.81499,0.70502,0.96562,0.6816,0.58953,0.80775,0.45939,0.39727,0.54454,0.33738,0.29171,0.4,0.75576,0.6535,0.89597
2,0.9252,0.91781,0.93271,0.75576,0.74971,0.7619,0.58708,0.58238,0.59186,0.5127,0.50859,0.51688,0.84475,0.83798,0.85163
3,0.90183,0.97179,0.84127,0.75229,0.81073,0.70171,0.56168,0.60537,0.52387,0.45861,0.49433,0.4277,0.82487,0.8891,0.76929
4,0.79563,0.67736,0.96394,0.67924,0.57819,0.8231,0.47912,0.40778,0.58072,0.37214,0.31668,0.45115,0.74801,0.63657,0.90675
5,0.81283,0.98942,0.68973,0.73713,0.89739,0.62543,0.57162,0.69601,0.48495,0.4367,0.53181,0.37045,0.77935,0.94904,0.66114
6,0.56634,1.0,0.39503,0.51079,0.90267,0.35617,0.34486,0.60994,0.24039,0.25541,0.45211,0.17798,0.54868,0.97096,0.38238
7,0.50973,1.0,0.34204,0.50886,1.0,0.34126,0.50266,0.98951,0.3369,0.49644,0.97895,0.33254,0.50711,0.99942,0.33975
8,0.92301,0.91124,0.93508,0.78985,0.77977,0.80019,0.59128,0.58373,0.59903,0.44701,0.44129,0.45287,0.85312,0.84222,0.86431
9,0.85215,0.7925,0.92151,0.71032,0.66055,0.76819,0.48833,0.45409,0.52816,0.36209,0.33668,0.39164,0.78608,0.73093,0.85023
10,0.77592,1.0,0.63388,0.72496,0.93458,0.59215,0.59229,0.76374,0.4837,0.50386,0.64988,0.41142,0.75949,0.97952,0.62018
11,0.83274,0.73817,0.9551,0.61497,0.54502,0.70552,0.40714,0.36076,0.46721,0.3059,0.271,0.35113,0.73331,0.64968,0.84166
12,0.88079,0.93744,0.8306,0.73488,0.78219,0.69297,0.52073,0.55428,0.49101,0.39336,0.41873,0.37089,0.80959,0.86179,0.76336
13,0.70675,0.99587,0.54773,0.63289,0.89234,0.49033,0.41177,0.58091,0.31891,0.27835,0.39293,0.21551,0.67567,0.9536,0.52318
14,0.63124,1.0,0.46118,0.60223,0.95444,0.4399,0.4991,0.79133,0.3645,0.41238,0.65411,0.3011,0.62645,0.99353,0.45744
15,0.83011,0.99339,0.71293,0.67496,0.80795,0.57957,0.45983,0.55058,0.39477,0.34813,0.41694,0.29881,0.753,0.90177,0.64637
16,0.85935,0.97927,0.76559,0.74141,0.84505,0.66042,0.55298,0.6304,0.4925,0.45819,0.52244,0.40801,0.80613,0.91911,0.71789
17,0.89453,0.99143,0.81489,0.74405,0.82475,0.67774,0.5534,0.6135,0.50403,0.44099,0.48894,0.40161,0.83146,0.92182,0.75723
18,0.90982,0.87461,0.94799,0.77035,0.74051,0.80269,0.55,0.52868,0.57311,0.40597,0.39022,0.42304,0.82894,0.79679,0.86379
19,0.68762,0.99744,0.52466,0.6651,0.96502,0.5074,0.5631,0.81725,0.42953,0.47218,0.68547,0.36013,0.67822,0.98448,0.51729
20,0.92639,0.95468,0.89972,0.79139,0.81558,0.76859,0.62261,0.64166,0.60465,0.52924,0.54545,0.51397,0.86038,0.88673,0.83556
21,0.91428,0.95548,0.87649,0.74987,0.7837,0.71884,0.53826,0.56257,0.51597,0.4221,0.44118,0.4046,0.834,0.87169,0.79943
22,0.91208,0.92977,0.89506,0.76686,0.78174,0.75253,0.55126,0.56197,0.54095,0.41464,0.42271,0.40688,0.83331,0.84951,0.81771
23,0.71608,0.99133,0.56046,0.6092,0.8437,0.4767,0.37447,0.51884,0.29296,0.22304,0.30914,0.17445,0.67743,0.93883,0.52989
24,0.87117,0.8047,0.94962,0.68132,0.62927,0.74275,0.39954,0.36898,0.43561,0.22725,0.20985,0.24779,0.79621,0.73528,0.86816
25,0.87899,0.84211,0.91925,0.73159,0.70085,0.76516,0.56739,0.54351,0.59346,0.49068,0.47,0.51326,0.79851,0.76487,0.83524
26,0.83837,0.97601,0.73476,0.70922,0.82583,0.62147,0.47257,0.55038,0.41403,0.35811,0.41717,0.3137,0.78484,0.9142,0.68755
27,0.56138,0.39441,0.97353,0.53851,0.37826,0.93433,0.4804,0.33738,0.83391,0.40957,0.28758,0.71132,0.54841,0.38509,0.95229
28,0.85465,0.79118,0.92919,0.66985,0.62003,0.72837,0.37291,0.34513,0.40555,0.23943,0.22157,0.26042,0.77107,0.71358,0.83864
29,0.65667,0.49213,0.98649,0.6006,0.44994,0.90293,0.52181,0.39077,0.78507,0.45482,0.34047,0.68481,0.62795,0.47014,0.94524
30,0.84936,0.95406,0.76536,0.67441,0.75767,0.60763,0.4607,0.51767,0.41502,0.3436,0.38615,0.30949,0.77104,0.86648,0.69454
31,0.81155,0.68925,0.98662,0.72275,0.61358,0.87919,0.58368,0.49531,0.71044,0.51595,0.43765,0.62838,0.76489,0.6489,0.93138
32,0.82593,1.0,0.70347,0.68446,0.8289,0.58289,0.48402,0.58629,0.41213,0.35553,0.43075,0.30268,0.76917,0.93184,0.65486
33,0.79163,0.70641,0.90023,0.63536,0.56684,0.72273,0.46246,0.4125,0.5262,0.34905,0.31127,0.39726,0.69663,0.62128,0.79278
34,0.83401,0.96688,0.73325,0.64714,0.75039,0.56886,0.37108,0.43038,0.32614,0.22541,0.26149,0.19808,0.74875,0.86853,0.658
35,0.69881,0.99231,0.5393,0.63015,0.89522,0.48619,0.49728,0.70679,0.38358,0.41196,0.58578,0.31769,0.67077,0.95366,0.51732
36,0.88107,0.98922,0.79423,0.76948,0.86399,0.6936,0.57128,0.64149,0.51492,0.41881,0.47031,0.37747,0.83292,0.93533,0.75072
37,0.89559,0.97639,0.82714,0.63207,0.68919,0.58369,0.32738,0.35702,0.30229,0.17716,0.19322,0.16356,0.7854,0.85658,0.72514
38,0.88419,0.95091,0.82622,0.68078,0.73224,0.63608,0.41731,0.44891,0.38986,0.29737,0.31993,0.27778,0.78404,0.84348,0.73242
39,0.76946,0.99027,0.62917,0.68433,0.88109,0.55941,0.52009,0.66992,0.42503,0.44951,0.57926,0.36725,0.72578,0.93514,0.59301
40,0.65863,1.0,0.49101,0.6067,0.92167,0.45217,0.47996,0.72955,0.35761,0.38923,0.59197,0.28993,0.64169,0.97577,0.47803
41,0.88486,0.98954,0.80021,0.76536,0.85602,0.69206,0.61511,0.68807,0.55614,0.52082,0.58268,0.47084,0.83858,0.93813,0.75813
42,0.74863,0.99417,0.60035,0.68132,0.90511,0.54626,0.50825,0.67544,0.40741,0.37335,0.49634,0.29921,0.72348,0.96171,0.57985
43,0.61818,0.99811,0.44775,0.58133,0.93928,0.42092,0.43974,0.71103,0.3183,0.33078,0.53524,0.23935,0.60816,0.98382,0.44011
44,0.66353,1.0,0.49648,0.62897,0.94849,0.47048,0.52594,0.79359,0.3933,0.47579,0.71836,0.35569,0.65126,0.98308,0.48691
45,0.65734,0.99296,0.49129,0.59456,0.89882,0.44419,0.44427,0.67217,0.33178,0.33879,0.513,0.25291,0.62627,0.94803,0.46757
46,0.85031,0.7788,0.93627,0.69972,0.64082,0.77055,0.4696,0.43003,0.5172,0.33724,0.30879,0.37146,0.7719,0.70681,0.8502
47,0.66998,0.99835,0.50416,0.65191,0.97195,0.49042,0.59391,0.88595,0.44667,0.56017,0.83609,0.42118,0.6642,0.99117,0.49944
48,0.7575,0.99178,0.61276,0.70883,0.92832,0.57329,0.57656,0.75529,0.46623,0.48809,0.63958,0.39462,0.73716,0.96586,0.59603
