,rouge_1_f_score,rouge_1_precision,rouge_1_recall,rouge_2_f_score,rouge_2_precision,rouge_2_recall,rouge_3_f_score,rouge_3_precision,rouge_3_recall,rouge_4_f_score,rouge_4_precision,rouge_4_recall,rouge_su4_f_score,rouge_su4_precision,rouge_su4_recall
0,0.85389,0.97285,0.76085,0.76037,0.86643,0.67745,0.57632,0.6568,0.51341,0.46258,0.52725,0.41204,0.80031,0.91216,0.7129
1,0.9095,0.96019,0.8639,0.76133,0.80383,0.7231,0.60817,0.64217,0.57759,0.55,0.5808,0.5223,0.84301,0.89019,0.80058
2,0.90019,0.96671,0.84223,0.72874,0.78267,0.68177,0.53449,0.5741,0.5,0.43186,0.4639,0.40396,0.81961,0.8804,0.76668
3,0.85339,0.98405,0.75336,0.74099,0.85463,0.65403,0.6061,0.6992,0.53488,0.52917,0.61058,0.46691,0.79963,0.92258,0.70559
4,0.84978,0.76744,0.95192,0.70892,0.64016,0.79422,0.49677,0.44854,0.55663,0.38321,0.34597,0.42943,0.79178,0.71486,0.88726
5,0.6649,0.99773,0.49858,0.6268,0.94091,0.46992,0.4894,0.73493,0.36684,0.3912,0.5877,0.29318,0.64225,0.96471,0.48135
6,0.54834,1.0,0.37773,0.54675,0.998,0.37651,0.54078,0.988,0.37227,0.53698,0.98196,0.36953,0.54574,0.99766,0.3756
7,0.54953,1.0,0.37886,0.52458,0.95597,0.36147,0.43388,0.7918,0.29881,0.39827,0.72785,0.27414,0.54139,0.98894,0.37272
8,0.85526,0.98485,0.75581,0.74863,0.8622,0.66149,0.56703,0.65316,0.50097,0.46535,0.53612,0.41108,0.8092,0.93222,0.71486
9,0.91125,0.97461,0.85562,0.78513,0.83978,0.73715,0.66701,0.7135,0.62621,0.61905,0.66224,0.58115,0.86461,0.92491,0.81169
10,0.75115,0.99633,0.60281,0.69096,0.91677,0.5544,0.53924,0.71569,0.43259,0.43253,0.57423,0.34692,0.73052,0.96975,0.58597
11,0.86105,0.97423,0.77143,0.69178,0.78295,0.61963,0.54234,0.61399,0.48566,0.49083,0.55584,0.43943,0.77655,0.87933,0.69528
12,0.8767,0.89975,0.8548,0.73798,0.7574,0.71953,0.52366,0.53745,0.51056,0.41653,0.42751,0.4061,0.80289,0.82405,0.78279
13,0.77924,0.99646,0.63977,0.73181,0.93617,0.60068,0.644,0.82416,0.52847,0.60181,0.77046,0.49373,0.76244,0.97599,0.62557
14,0.62432,1.0,0.45383,0.60744,0.97338,0.44147,0.5356,0.85863,0.38918,0.47306,0.7587,0.34367,0.61685,0.98918,0.44816
15,0.71046,0.99785,0.5516,0.62739,0.88172,0.48694,0.46743,0.65733,0.36266,0.36684,0.5162,0.28452,0.67834,0.95432,0.52618
16,0.90921,0.98686,0.84289,0.78923,0.85673,0.73159,0.66487,0.72182,0.61625,0.60635,0.65836,0.56195,0.85107,0.92404,0.78878
17,0.89538,0.98905,0.81791,0.76516,0.84531,0.69889,0.5872,0.64878,0.53629,0.49834,0.55067,0.4551,0.8356,0.92331,0.76311
18,0.91591,0.95286,0.88171,0.7911,0.82305,0.76154,0.64513,0.67121,0.62101,0.55745,0.58,0.53659,0.84525,0.87943,0.81362
19,0.59065,0.99893,0.41928,0.57269,0.96898,0.40646,0.47691,0.80728,0.33842,0.37468,0.63451,0.26583,0.58553,0.99143,0.41544
20,0.75347,1.0,0.60446,0.66975,0.88923,0.53717,0.4826,0.64099,0.38698,0.35888,0.47685,0.28771,0.73258,0.97326,0.58734
21,0.91768,0.93672,0.8994,0.74568,0.76116,0.73081,0.58045,0.59252,0.56886,0.49236,0.5026,0.48252,0.84205,0.85957,0.82523
22,0.90172,0.93026,0.87487,0.76522,0.78947,0.74242,0.55758,0.57527,0.54095,0.43818,0.4521,0.4251,0.82444,0.85061,0.79983
